"time","t_step","y","lb_50","ub_50","lb_95","ub_95","prop","location"
2024-06-09,671,-0.016560714611046,-0.0202447636969019,-0.0129939205727787,-0.0273043398618982,-0.00612227444907272,0.001,"NZ"
2024-06-10,672,-0.0183063540055115,-0.0220358930185016,-0.0146804861952572,-0.0292869559121923,-0.00779683812904,0.00025,"NZ"
2024-06-11,673,-0.0196943405950778,-0.0236127566949469,-0.0160001678043835,-0.0309092039758044,-0.00888137967955627,0.00025,"NZ"
2024-06-12,674,-0.0207423889699103,-0.0246752524605149,-0.0169305161354423,-0.032250955785253,-0.00967602254724234,0.000125,"NZ"
2024-06-13,675,-0.0214442559753469,-0.0252849699564262,-0.0176568609676206,-0.032913223285093,-0.0104901475042895,0.000125,"NZ"
2024-06-14,676,-0.0216570456269514,-0.0253404095271919,-0.0181298550379667,-0.0328538207443691,-0.011054394158806,0,"NZ"
2024-06-15,677,-0.0216713038509417,-0.0252869763983934,-0.0179880063961786,-0.0328625637709867,-0.0111332870686626,0,"NZ"
2024-06-16,678,-0.0214589043641111,-0.0252076174386038,-0.0176278636757177,-0.0332922112226052,-0.0104057585115787,0,"NZ"
2024-06-17,679,-0.0211393627898313,-0.025006911665346,-0.0172000987486571,-0.0332616592633558,-0.00964805083567831,0.000125,"NZ"
2024-06-18,680,-0.020682374118508,-0.0245240589355116,-0.0168383773258378,-0.0325390786900267,-0.00909325338550693,0,"NZ"
2024-06-19,681,-0.0200326799775747,-0.0238007193114393,-0.0164168636806836,-0.031404905643286,-0.00893095493069347,0.000125,"NZ"
2024-06-20,682,-0.0193156667444518,-0.0231567568848732,-0.015621445447678,-0.0305127079945698,-0.00799273518811565,5e-04,"NZ"
2024-06-21,683,-0.0185929640106322,-0.0225060827388828,-0.0146133770109793,-0.0301830227665906,-0.00680588352462331,0.001125,"NZ"
2024-06-22,684,-0.0176477791225054,-0.0216473119572764,-0.013605652877112,-0.0294692578860281,-0.00559145514902804,0.0025,"NZ"
2024-06-23,685,-0.0166366567030454,-0.0205801394368932,-0.0126726245165636,-0.0282286914357074,-0.00484384833018769,0.002625,"NZ"
2024-06-24,686,-0.0155110757733357,-0.019333264258788,-0.011730368586083,-0.0265207185374162,-0.0041737819575606,0.00275,"NZ"
2024-06-25,687,-0.0143473909877372,-0.0181464435622736,-0.0104449476664557,-0.0252786426901777,-0.00328844720061006,0.006,"NZ"
2024-06-26,688,-0.0130950673696044,-0.0170222102441737,-0.00903548081459316,-0.0245405129672227,-0.00162533870340665,0.013125,"NZ"
2024-06-27,689,-0.0118419706009094,-0.0158000256695696,-0.00772179653902882,-0.023713518972192,-5.0630348449457e-05,0.024375,"NZ"
2024-06-28,690,-0.0105870684932441,-0.0144313131970844,-0.00650950361415359,-0.0221423906186917,0.00114469227877165,0.040125,"NZ"
2024-06-29,691,-0.00924187316060809,-0.0130181910213756,-0.00541098999525236,-0.0205221479313298,0.00232205975586015,0.057375,"NZ"
2024-06-30,692,-0.00791302461642873,-0.0117506420796756,-0.00413085733855656,-0.0193610284385089,0.00382045876586572,0.088,"NZ"
2024-07-01,693,-0.00689667792288251,-0.0108147631708333,-0.00278198247030925,-0.0188550703382497,0.00557206267360968,0.125125,"NZ"
2024-07-02,694,-0.00616017220143261,-0.0101566989439619,-0.0019954161728768,-0.018321707905393,0.00657570311262104,0.16125,"NZ"
